"Fon Kodu","Fon Adı","Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"AGA","BEREKET EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","13,4351","36,7928","45,4050","42,3927","89,4580","448,8183","1.233,7721"
"AEA","ANADOLU HAYAT EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","11,7553","36,5858","34,6117","37,8545","76,0295","400,2402","1.100,3765"
"GEV","AGESA HAYAT VE EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","13,0049","35,2413","40,5941","39,9056","75,9618","-","-"
"VGA","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","12,5413","36,4357","36,2914","38,6179","72,3179","393,7857","1.105,1341"
"CFA","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","13,5005","33,9414","37,0175","38,8699","69,8368","429,5461","1.200,6248"
"HEA","AXA HAYAT VE EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","11,9804","33,7656","31,5670","35,8966","68,2814","372,0511","1.047,8079"
"MEA","METLİFE EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","11,9590","35,5085","37,2116","38,4703","67,2052","388,7062","1.075,4712"
"GHA","GARANTİ EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","12,4863","34,4787","33,4571","37,6155","66,0302","381,3533","1.078,1347"
"VGD","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KIYMETLİ MADENLER KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","10,2510","31,1918","30,7239","34,9928","64,5372","338,2162","465,0342"
"KEF","KATILIM EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","12,8143","34,9548","34,1772","38,7432","64,1996","375,8359","1.050,5069"
"BNA","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","12,1067","33,1212","32,4828","37,0169","62,8278","381,5461","1.082,2075"
"NHA","NN HAYAT VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","12,6585","34,5145","32,9292","38,3520","62,5375","379,8492","1.071,5949"
"FIF","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. İSTANBUL PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","10,0857","14,4535","28,9964","16,3370","62,1731","495,3209","1.021,6049"
"GRA","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","10,5175","31,3148","30,8287","35,9273","60,7214","369,3222","1.045,0477"
"CHC","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2,6416","7,9438","22,0191","11,1504","60,1002","260,3243","431,6750"
"AMZ","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU","Altın Fonu","11,7519","33,5165","31,1874","35,1884","58,4311","366,6122","1.023,9553"
