"Fon Kodu","Fon Adı","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"TGI","TERA PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GAYRİMENKUL YATIRIM FONU","55,2212","66,3072","1.433,3337","153,9953","644,6959","-","-"
"AG8","ALBARAKA  PORTFÖY YÖNETİMİ A.Ş. DÖRDÜNCÜ KARMA GAYRİMENKUL YATIRIM FONU","0,1181","0,8539","424,9411","-3,6431","576,4181","1.246,9022","1.636,7069"
"YE3","24 GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. AKASYA GAYRİMENKUL YATIRIM FONU","-0,0437","-10,2362","309,7336","-10,2455","284,8433","56.847,9389","-"
"RYZ","ARGEUS GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. DÖRDÜNCÜ GAYRİMENKUL YATIRIM FONU","9,9513","8,7589","26,4865","8,9897","203,1255","-","-"
"FT2","FT GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. İKİNCİ KATILIM GAYRİMENKUL YATIRIM FONU","-2,5273","-0,1789","116,9754","-13,0728","131,7448","-","-"
"RG5","RE-PIE PORTFÖY YÖNETİMİ A.Ş. DİCLE PROJE GAYRİMENKUL YATIRIM FONU","-0,0394","-0,1195","-4,3046","-0,1445","130,8014","904,6915","-"
"UCG","RE-PIE PORTFÖY YÖNETİMİ A.Ş. SAMPAŞ HOLDİNG ÖZEL GAYRİMENKUL YATIRIM FONU","0,4283","0,0250","-5,1621","0,2353","123,3177","1.111,8730","1.393,7459"
"YG1","24 GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. LOTUS GAYRİMENKUL YATIRIM FONU","17,7256","7,9935","24,7266","8,2019","116,3300","472,3706","-"
"NUI","NUROL PORTFÖY YÖNETİMİ A.Ş. TİCARİ GAYRİMENKUL YATIRIM FONU","0,5196","1,0879","122,1503","1,1318","109,5587","-","-"
"YG7","24 GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. MENEKŞE GAYRİMENKUL YATIRIM FONU","1,1002","3,7079","8,2721","4,5448","101,3800","-","-"
"AG6","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. SEKİZİNCİ KARMA GAYRİMENKUL YATIRIM FONU","-0,1774","-0,0980","-1,1063","-4,6805","90,6183","198,8283","245,9824"
"ZGG","ZİRAAT PORTFÖY YÖNETİMİ A.Ş. BGF KATILIM ÖZEL GAYRİMENKUL YATIRIM FONU","2,3639","2,1901","62,7436","2,2982","89,4677","-","-"
"RR4","RE-PIE PORTFÖY YÖNETİMİ A.Ş. ATAR GAYRİMENKUL YATIRIM FONU","0,4633","1,4548","22,9977","1,8762","87,8829","738,6625","-"
"ZVD","ATLAS PORTFÖY YÖNETİMİ A.Ş.ESTA GAYRİMENKUL YATIRIM FONU","-0,0138","-9,4822","79,9378","-9,4423","80,7494","1.177,3447","-"
"GF1","FONERİA PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ GAYRİMENKUL YATIRIM FONU","0,2185","0,6506","57,8800","0,5932","79,2855","-","-"
"RGF","ROTA PORTFÖY YÖNETİMİ A.Ş. TSL PROJE GAYRİMENKUL YATIRIM FONU","2,1446","7,4210","39,6899","8,7018","77,7389","-","-"
"NYD","NEO PORTFÖY YÖNETİMİ A.Ş. BİLGE GAYRİMENKUL YATIRIM FONU","168,3742","174,0649","92,9355","175,0508","75,4022","-","-"
"NG6","ARGEUS GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GAYRİMENKUL YATIRIM FONU","0,6992","1,9408","53,0671","2,7179","72,1103","636,7846","-"
"NUL","NUROL PORTFÖY YÖNETİMİ A.Ş. İGC GAYRİMENKUL YATIRIM FONU","0,6413","2,3312","58,1914","2,3345","70,3268","-","-"
"YG3","24 GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. ERGUVAN GAYRİMENKUL YATIRIM FONU","-0,2406","-0,7525","68,6613","-6,2013","65,6976","-","-"
