"Fon Kodu","Fon Adı","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"NPE","NEO PORTFÖY YÖNETİMİ A.Ş. DÖRDÜNCÜ GİRİŞİM SERMAYESİ YATIRIM FONU","-4,9897","-25,8391","4.089,2987","-26,3485","4.150,7563","16.654,1072","-"
"FNF","FONEVA PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU","-0,0326","-0,1253","10,3471","-0,1521","2.892,9205","-","-"
"PG4","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. BOYUT GİRİŞİM SERMAYESİ YATIRIM FONU","-0,1673","-0,4694","1.781,9982","-1,6192","1.870,2545","-","-"
"BKG","PARDUS PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ KARMA GİRİŞİM SERMAYESİ YATIRIM FONU","78,0615","111,1634","142,9283","118,9065","373,4186","-","-"
"REB","RE-PIE PORTFÖY YÖNETİMİ A.Ş. BİNBİN GİRİŞİM SERMAYESİ  YATIRIM FONU","49,2572","156,8067","161,8552","159,5478","341,6895","1.233,5056","-"
"NEC","NEO PORTFÖY YÖNETİMİ A.Ş. CONNECT IQ GİRİŞİM SERMAYESİ YATIRIM FONU","-0,0082","-0,0153","36,0589","-0,0225","258,6809","-","-"
"RFT","RE-PIE PORTFÖY YÖNETİMİ A.Ş. İKİNCİ KARMA GİRİŞİM SERMAYESİ YATIRIM FONU","3,8304","28,8853","198,5451","94,4759","256,7115","547,3753","-"
"LC1","LETVEN CAPİTAL GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. PREO GİRİŞİM SERMAYESİ YATIRIM FONU","-0,2184","4,1069","207,5794","3,9731","249,4177","-","-"
"NPD","NUROL PORTFÖY YÖNETİMİ A.Ş. DÖRDÜNCÜ GİRİŞİM SERMAYESİ YATIRIM FONU","0,0496","0,0440","14,0147","0,0459","169,0141","753,0809","-"
"HNG","HEDEF PORTFÖY YÖNETİMİ A.Ş. COFUNDS GİRİŞİM SERMAYESİ YATIRIM FONU","-0,1164","0,8303","143,6861","0,8290","165,4743","-","-"
"FTC","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. DEĞER GİRİŞİM SERMAYESİ YATIRIM FONU","2,4967","4,2436","138,7082","15,2316","153,5136","750,9242","729,7625"
"NYL","NEO PORTFÖY YÖNETİMİ A.Ş. KARBON TEKNOLOJİLERİ GİRİŞİM SERMAYESİ YATIRIM FONU","0,8085","1,9499","104,4256","1,9330","131,2952","-","-"
"IV1","INVEO PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ TEKNOLOJİ GİRİŞİM SERMAYESİ YATIRIM FONU","-0,0244","-0,0716","123,3236","105,1710","128,0725","-","-"
"LTE","LOGOS PORTFÖY YÖNETİMİ A.Ş. TESTİNİUM GİRİŞİM SERMAYESİ YATIRIM FONU","0,5324","6,7120","10,4316","7,4154","122,0664","-","-"
"PAG","RE-PIE PORTFÖY YÖNETİMİ A.Ş.AKILLI ŞEHİRLER GİRİŞİM SERMAYESİ YATIRIM FONU","-0,1006","-0,5900","121,9374","-0,6482","120,5116","548,2675","-"
"PIH","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. ASSET GİRİŞİM SERMAYESİ YATIRIM FONU","-0,2854","-0,3424","119,0211","-0,3415","117,2567","506,4047","-"
"RAL","RE-PIE PORTFÖY YÖNETİMİ A.Ş.ALTUN CAPİTAL GİRİŞİM SERMAYESİ YATIRIM FONU","19,7903","15,7959","76,1760","22,0715","111,4579","57,3593","-"
"NPT","NEO PORTFÖY YÖNETİMİ A.Ş. TARGET GİRİŞİM SERMAYESİ YATIRIM FONU","5,6507","13,4561","52,7113","18,6768","99,4701","-","-"
