"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"ZJI","ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON","Serbest Şemsiye Fonu","13,4991","45,8570","97,2400","48,4729","198,2004","570,6369","-"
"ZJB","ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON","Serbest Şemsiye Fonu","14,0980","44,3607","94,6292","46,8365","194,4266","559,2562","-"
"IIE","İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","18,4273","57,1739","90,7646","67,0946","173,1928","-","-"
"DDF","DENİZ PORTFÖY DİNAMO SERBEST FON","Serbest Şemsiye Fonu","11,3524","50,8274","65,0590","48,5612","105,7419","377,3011","531,9401"
"RTP","RE-PIE PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","5,1510","14,4919","64,9538","19,7746","93,5327","684,0447","-"
"NAU","NEO PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","11,5125","30,6300","42,0573","38,6575","89,0067","-","-"
"TMM","TERA PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,6222","44,9971","55,2177","46,4704","75,5629","-","-"
"PAF","PARDUS PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","14,2529","36,7415","40,6835","41,6051","73,3028","-","-"
"ZCD","ZİRAAT PORTFÖY ALTINCI SERBEST (TL) FON","Serbest Şemsiye Fonu","1,7602","9,0509","34,8047","11,6767","72,8108","-","-"
"BIH","PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","10,1477","12,2127","34,1360","11,7774","72,5675","-","-"
"TCA","ZİRAAT PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","13,5928","36,8755","36,7336","40,4322","71,4109","362,8616","1.009,2684"
"GKS","INVEO PORTFÖY İKİNCİ SERBEST FON","Serbest Şemsiye Fonu","0,6133","-3,4619","7,3609","-0,3212","68,9334","184,8035","372,0915"
"RBA","ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU","Katılım Şemsiye Fonu","12,7088","37,8182","36,3289","43,5291","68,1410","321,3434","834,1292"
"BVZ","BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON","Serbest Şemsiye Fonu","3,4124","11,4187","26,4038","14,4320","67,8732","-","-"
"UP1","ÜNLÜ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","11,6409","33,1869","33,1283","35,8894","67,8457","-","-"
"NJF","NUROL PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","12,0747","32,7177","35,2446","37,6271","66,7658","353,1992","-"
"OJK","QNB PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","12,6187","33,0758","35,2432","37,9437","66,4177","355,8113","-"
"GGK","INVEO PORTFÖY ALTIN FON","Kıymetli Madenler Şemsiye Fonu","12,1032","33,1632","33,3656","36,4529","66,2620","387,6999","-"
"HBF","HSBC PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","13,1840","35,3022","36,2442","41,1802","65,1112","332,4246","895,8119"
"YKT","YAPI KREDİ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","11,0967","33,2609","31,8781","36,4321","64,7331","355,0019","966,4236"
"KZL","KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","13,4638","35,1223","36,1026","40,6814","64,5045","382,7271","1.013,4573"
"NVC","NEO PORTFÖY VENTO SERBEST FON","Serbest Şemsiye Fonu","-0,1990","-1,7640","7,5912","-0,1428","64,4898","-","-"
"HEH","HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","4,4918","9,8562","24,2959","13,6986","64,3456","-","-"
"IDY","TEB PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","12,0189","13,8559","24,7834","13,4750","64,2916","219,6523","390,4929"
"FIB","FİBA PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","12,4981","33,8257","33,1513","38,3726","64,0030","336,3876","934,3332"
"FS5","FONERİA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,9477","8,8369","20,0246","10,9857","63,5940","-","-"
"MKG","AKTİF PORTFÖY ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","12,0171","33,0990","34,0385","36,8764","63,3188","373,8815","-"
"NJR","NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","4,0266","11,2585","26,2961","14,3736","63,2286","202,0608","-"
"KSA","HEDEF PORTFÖY KISA VADELİ SERBEST (TL) FON","Serbest Şemsiye Fonu","3,6838","11,8652","26,4696","14,8524","63,1879","-","-"
"RJG","RE-PIE PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","12,6055","34,3051","34,1321","38,8044","63,1821","-","-"
"LID","ALLBATROSS PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","20,6349","23,0344","39,6292","23,9448","63,0730","-","-"
"TPP","TEB PORTFÖY PUSULA SERBEST FON","Serbest Şemsiye Fonu","8,8608","9,9070","20,8564","10,7843","62,7273","507,3137","1.863,7311"
"KMF","AZİMUT PORTFÖY KIYMETLİ MADENLER KATILIM FONU","Katılım Şemsiye Fonu","11,7486","32,1218","37,3205","36,1514","62,6707","-","-"
"DBA","DENİZ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","11,9084","33,4146","31,4568","37,6003","62,6492","344,5623","924,7367"
"ICA","ICBC TURKEY PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","12,7215","33,9906","33,8185","37,2453","62,6418","330,4988","890,5578"
"TAL","ATLAS PORTFÖY ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","13,1250","34,8229","33,1359","39,9993","62,4715","-","-"
"TUA","TEB PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","12,7977","33,5817","33,5258","36,8122","62,3585","344,0911","940,1629"
"RPT","ROTA PORTFÖY İKİNCİ SERBEST (TL) FON","Serbest Şemsiye Fonu","3,9092","11,6819","25,9668","14,5259","62,1582","-","-"
"HVK","HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","3,7613","11,9160","26,5930","14,9993","62,1261","209,6453","-"
"PPN","NUROL PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,7413","11,3164","25,7020","14,2346","61,6172","194,1845","-"
"PPT","ATLAS PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,5862","11,4661","25,8240","14,3593","61,5033","-","-"
"DCB","DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON","Serbest Şemsiye Fonu","3,6925","11,5511","25,9079","14,4461","61,4418","-","-"
"GO6","FONERİA PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,4697","11,4276","25,8244","14,3562","61,2664","-","-"
"KIE","TRIVE PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,7172","11,4438","25,7705","14,3226","61,2642","-","-"
"HYV","HEDEF PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,5196","11,0977","25,5360","14,0599","61,1828","194,8347","-"
"BGP","AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,5162","11,0302","25,4207","13,9767","60,9301","185,4600","-"
"NRG","NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","3,4737","11,0544","25,4698","14,0214","60,8480","196,3524","-"
"NVT","NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON","Serbest Şemsiye Fonu","3,9566","11,7158","25,9395","14,7182","60,7448","-","-"
"IJV","İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,5349","11,0768","25,5560","14,0554","60,7334","181,5954","-"
"IRY","INVEO PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,3355","10,8748","25,1520","13,7768","60,6637","-","-"
"RPP","ROTA PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,5276","10,9560","25,3010","13,9005","60,6253","-","-"
"PUC","AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON","Serbest Şemsiye Fonu","3,4899","11,2248","25,3528","14,0903","60,6189","-","254,5013"
"ZBJ","ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,3410","10,7900","25,1421","13,7251","60,5025","185,9866","-"
"FSF","FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON","Serbest Şemsiye Fonu","3,6135","11,3025","25,3768","14,1223","60,4802","189,3535","289,6452"
"EIL","QİNVEST PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","3,6043","11,2870","25,3902","14,1168","60,4501","168,9164","261,8885"
