"Fon Kodu","Fon Adı","Fon Türü","Uygulanan Yönetim Ücreti Yıllık (%)","Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%)","Yıllık Net Getiri Oranı (%)","Yıllık Azami Fon Toplam Gider Oranı (%)"
"AAJ","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0.85","0.85","30.06","1.09"
"ABE","ANADOLU HAYAT EMEKLİLİK A.Ş.S&P 500 YABANCI BYF FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","2.2","2.2","22.4","2.28"
"AE2","AGESA HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.9","1.9","32.4","1.91"
"AE3","AGESA HAYAT VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.24","2.24","23.58","2.28"
"AE4","AGESA HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1","1","18.25","2.28"
"AEA","ANADOLU HAYAT EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","1.07","1.07","79.62","1.09"
"AEG","AGESA HAYAT VE EMEKLİLİK A.Ş. MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","1","1","44.5","2.28"
"AEH","AGESA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.18","2.18","3.83","2.28"
"AEN","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. İKİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2","2","31.59","2.28"
"AEU","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BIST TEMETTÜ ENDEKSİ EMEKLİLİK YATIRIM FONU","Endeks Fon","1.88","1.88","8.06","1.91"
"AEZ","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. ATA PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2","2","17.58","2.28"
"AFH","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","OKS Standart Fon","0.85","0.85","27.1","1.09"
"AFJ","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","0.85","0.85","48.24","1.09"
"AFP","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","OKS Katılım Standart Fon","0.85","0.85","26.23","1.09"
"AGA","BEREKET EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU","Altın Katılım Fonu","1.00375","1.00375","95.22","1.09"
"AGB","BEREKET EMEKLİLİK VE HAYAT A.Ş. BÜYÜME KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.19","2.19","10.28","2.28"
"AGD","BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1.825","1.825","26.71","1.91"
"AGE","ANADOLU HAYAT EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","1.9","1.9","27.63","1.91"
"AGH","BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.19","2.19","8.34","2.28"
"AGM","BEREKET EMEKLİLİK VE HAYAT A.Ş. MUHAFAZAKAR KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.19","2.19","36.25","2.28"
"AH0","ANADOLU HAYAT EMEKLİLİK A.Ş. ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.2","2.2","24.83","2.28"
"AH1","ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","1.85","1.85","30.99","1.91"
"AH3","ANADOLU HAYAT EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.85","1.85","26.19","1.91"
"AH4","ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç","1.85","1.85","34.89","1.91"
"AH5","ANADOLU HAYAT EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","2.2","2.2","13","2.28"
"AH6","ANADOLU HAYAT EMEKLİLİK A.Ş. BİRİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2","2","21.23","2.28"
"AH8","ANADOLU HAYAT EMEKLİLİK A.Ş. TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.2","2.2","43.72","2.28"
"AH9","ANADOLU HAYAT EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","2.2","2.2","27.86","2.28"
