"Fon Kodu","Fon Adı","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"TGI","TERA PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GAYRİMENKUL YATIRIM FONU","55,9013","67,0451","1.436,1909","155,1083","644,9874","-","-"
"AG8","ALBARAKA  PORTFÖY YÖNETİMİ A.Ş. DÖRDÜNCÜ KARMA GAYRİMENKUL YATIRIM FONU","0,1372","0,8629","424,6772","-3,6248","574,6733","1.247,1582","1.637,0370"
"YE3","24 GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. AKASYA GAYRİMENKUL YATIRIM FONU","-0,0445","-10,2362","309,7344","-10,2463","284,8436","56.847,4764","-"
"RYZ","ARGEUS GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. DÖRDÜNCÜ GAYRİMENKUL YATIRIM FONU","9,9495","9,2280","26,4870","8,9879","202,4549","-","-"
"FT2","FT GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. İKİNCİ KATILIM GAYRİMENKUL YATIRIM FONU","-2,5103","-0,2853","117,0528","-13,0577","131,0731","-","-"
"RG5","RE-PIE PORTFÖY YÖNETİMİ A.Ş. DİCLE PROJE GAYRİMENKUL YATIRIM FONU","-0,0414","-0,1130","-4,3050","-0,1465","130,8057","904,7340","-"
"UCG","RE-PIE PORTFÖY YÖNETİMİ A.Ş. SAMPAŞ HOLDİNG ÖZEL GAYRİMENKUL YATIRIM FONU","0,4078","0,1152","-5,2256","0,2149","123,0212","1.113,5387","1.393,4236"
"YG7","24 GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. MENEKŞE GAYRİMENKUL YATIRIM FONU","1,1312","3,6269","8,1849","4,5769","118,2967","-","-"
"YG1","24 GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. LOTUS GAYRİMENKUL YATIRIM FONU","17,7249","7,9916","24,7246","8,2012","116,3238","472,3669","-"
"NUI","NUROL PORTFÖY YÖNETİMİ A.Ş. TİCARİ GAYRİMENKUL YATIRIM FONU","0,5153","1,0906","122,1609","1,1275","109,5315","-","-"
"AG6","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. SEKİZİNCİ KARMA GAYRİMENKUL YATIRIM FONU","-0,1708","-0,1045","-1,1118","-4,6741","90,2084","198,8481","246,0054"
"ZGG","ZİRAAT PORTFÖY YÖNETİMİ A.Ş. BGF KATILIM ÖZEL GAYRİMENKUL YATIRIM FONU","2,3667","2,1872","62,6510","2,3010","89,3706","-","-"
"RR4","RE-PIE PORTFÖY YÖNETİMİ A.Ş. ATAR GAYRİMENKUL YATIRIM FONU","0,4657","1,4565","22,9989","1,8785","87,8923","738,7946","-"
"RGF","ROTA PORTFÖY YÖNETİMİ A.Ş. TSL PROJE GAYRİMENKUL YATIRIM FONU","2,3555","7,4656","34,6666","8,9263","82,3396","-","-"
"ZVD","ATLAS PORTFÖY YÖNETİMİ A.Ş.ESTA GAYRİMENKUL YATIRIM FONU","-0,0151","-9,4870","79,9367","-9,4434","80,7492","1.177,3291","-"
"GF1","FONERİA PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ GAYRİMENKUL YATIRIM FONU","0,2171","0,6492","57,8820","0,5918","79,2893","-","-"
"NYD","NEO PORTFÖY YÖNETİMİ A.Ş. BİLGE GAYRİMENKUL YATIRIM FONU","168,3274","201,1374","92,7065","175,0028","75,3553","-","-"
"NG6","ARGEUS GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GAYRİMENKUL YATIRIM FONU","0,7108","1,9317","53,0517","2,7298","72,0928","636,8698","-"
"NUL","NUROL PORTFÖY YÖNETİMİ A.Ş. İGC GAYRİMENKUL YATIRIM FONU","0,6485","1,7638","58,1690","2,3417","70,3318","-","-"
"YG3","24 GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. ERGUVAN GAYRİMENKUL YATIRIM FONU","-0,2539","-0,7524","68,6609","-6,2138","65,6985","-","-"
"NG2","NEO PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GAYRİMENKUL YATIRIM FONU","0,3264","0,9879","63,6385","1,3413","64,7613","748,0485","-"
"HP2","HEDEF PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GAYRİMENKUL YATIRIM FONU","0,6523","1,3578","56,9872","1,7750","64,1415","-","-"
"RGO","RE-PIE PORTFÖY YÖNETİMİ A.Ş. GÖKSU GAYRİMENKUL YATIRIM FONU","1,1832","4,9740","22,4254","6,0306","59,4017","-","-"
"AZ2","ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GAYRİMENKUL YATIRIM FONU","0,7824","-2,8072","21,3796","-6,7871","59,2579","576,7654","1.130,0158"
"NUF","NUROL PORTFÖY YÖNETİMİ A.Ş. D VİZYON GAYRİMENKUL YATIRIM FONU","-0,0888","-0,3118","63,7343","-0,6723","58,9899","-","-"
"NG8","NEO PORTFÖY YÖNETİMİ A.Ş. DOKUZUNCU GAYRİMENKUL YATIRIM FONU","3,9945","10,9383","24,6778","14,2525","58,3686","-","-"
"NUK","NUROL PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ PROJE GAYRİMENKUL YATIRIM FONU","-0,1388","-0,3468","54,5037","3,3965","57,3337","-","-"
"NFG","NEO PORTFÖY YÖNETİMİ A.Ş. FIRSAT GAYRİMENKUL YATIRIM FONU","0,4628","5,8727","23,7275","8,0606","56,3178","-","-"
"YG6","24 GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. MANOLYA GAYRİMENKUL YATIRIM FONU","-0,2924","-0,5185","55,2967","-6,7916","55,5061","-","-"
