"Fon Kodu","Fon Adı","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"NPE","NEO PORTFÖY YÖNETİMİ A.Ş. DÖRDÜNCÜ GİRİŞİM SERMAYESİ YATIRIM FONU","-4,9824","-25,8379","4.092,8793","-26,3428","4.152,1330","16.647,7033","-"
"PG4","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. BOYUT GİRİŞİM SERMAYESİ YATIRIM FONU","-0,1665","-0,4691","1.780,6644","-1,6185","1.868,8800","-","-"
"BKG","PARDUS PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ KARMA GİRİŞİM SERMAYESİ YATIRIM FONU","72,2017","103,7729","134,2626","111,7026","360,3355","-","-"
"REB","RE-PIE PORTFÖY YÖNETİMİ A.Ş. BİNBİN GİRİŞİM SERMAYESİ  YATIRIM FONU","50,6939","143,3897","163,4867","162,0462","345,9942","1.246,5218","-"
"NEC","NEO PORTFÖY YÖNETİMİ A.Ş. CONNECT IQ GİRİŞİM SERMAYESİ YATIRIM FONU","-0,0086","-0,0154","36,0585","-0,0229","258,6473","-","-"
"RFT","RE-PIE PORTFÖY YÖNETİMİ A.Ş. İKİNCİ KARMA GİRİŞİM SERMAYESİ YATIRIM FONU","3,0786","24,8735","192,9515","93,0676","253,4782","542,5553","-"
"LC1","LETVEN CAPİTAL GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. PREO GİRİŞİM SERMAYESİ YATIRIM FONU","-0,2337","4,1041","207,5816","3,9572","248,2147","-","-"
"NPD","NUROL PORTFÖY YÖNETİMİ A.Ş. DÖRDÜNCÜ GİRİŞİM SERMAYESİ YATIRIM FONU","0,0502","0,0561","14,0147","0,0464","168,9976","753,0935","-"
"HNG","HEDEF PORTFÖY YÖNETİMİ A.Ş. COFUNDS GİRİŞİM SERMAYESİ YATIRIM FONU","-0,1073","0,8304","143,5597","0,8382","165,5019","-","-"
"FTC","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. DEĞER GİRİŞİM SERMAYESİ YATIRIM FONU","2,5203","4,1982","138,5177","15,2581","153,3052","751,1200","729,9534"
"NYL","NEO PORTFÖY YÖNETİMİ A.Ş. KARBON TEKNOLOJİLERİ GİRİŞİM SERMAYESİ YATIRIM FONU","0,7618","1,8470","104,5890","1,8858","131,1984","-","-"
"IV1","INVEO PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ TEKNOLOJİ GİRİŞİM SERMAYESİ YATIRIM FONU","-0,0264","-0,0697","123,3115","105,1669","128,0757","-","-"
"LTE","LOGOS PORTFÖY YÖNETİMİ A.Ş. TESTİNİUM GİRİŞİM SERMAYESİ YATIRIM FONU","0,5670","6,6409","10,4101","7,4524","122,2335","-","-"
"PAG","RE-PIE PORTFÖY YÖNETİMİ A.Ş.AKILLI ŞEHİRLER GİRİŞİM SERMAYESİ YATIRIM FONU","-0,1066","-0,4790","121,9369","-0,6541","120,5112","548,2287","-"
"PIH","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. ASSET GİRİŞİM SERMAYESİ YATIRIM FONU","-0,2852","-0,3421","119,0203","-0,3413","117,2568","506,4054","-"
"RAL","RE-PIE PORTFÖY YÖNETİMİ A.Ş.ALTUN CAPİTAL GİRİŞİM SERMAYESİ YATIRIM FONU","18,6873","13,9617","75,3165","20,9476","106,5112","55,6232","-"
"NPT","NEO PORTFÖY YÖNETİMİ A.Ş. TARGET GİRİŞİM SERMAYESİ YATIRIM FONU","9,1120","17,3107","56,8863","22,5649","106,0600","-","-"
