"Fon Kodu","Fon Adı","Şemsiye Fon Türü","Uygulanan Yönetim Ücreti Yıllık (%)","Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%)","Yıllık Net Getiri Oranı (%)","Yıllık Azami Fon Toplam Gider Oranı (%)"
"AAK","ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","Değişken Şemsiye Fonu","1.5","1.5","26.26","3.65"
"AAL","ATA PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","1","1","59.94","1.65"
"AAS","ATA PORTFÖY FON SEPETİ SERBEST FONU","Serbest Şemsiye Fonu","0.75","0.75","4.56","-"
"AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2.25","2.25","3.51","3.65"
"AC1","PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU","Serbest Şemsiye Fonu","1","0","51.52","-"
"AC4","PARDUS PORTFÖY PARA PİYASASI (TL) FON","Para Piyasası Şemsiye Fonu","1","0","60.1","0"
"AC5","PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","1.5","0","26.71","0"
"AC6","PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2.5","0","21.96","0"
"ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","2.56","0","12.85","3.65"
"ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2.1","0","30.64","3.65"
"ACK","İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2.1","0","7","3.65"
"ACU","İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1.095","0","25.99","-"
"ADE","AK PORTFÖY DEĞİŞKEN FON","Değişken Şemsiye Fonu","2","2","55.15","3.65"
"ADP","AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2","2","-6.33","2.19"
"AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1.75","1.75","16.72","3.65"
"AES","AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2.9","2.9","-1.78","4.38"
"AEV","ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","3","0","5.37","-"
"AFA","AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","2.9","2.9","20.57","3.65"
"AFO","AK PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","2.04","2.04","67.06","2.19"
"AFS","AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","2.9","2.9","8.18","3.65"
"AFT","AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","2.9","2.9","21.54","3.65"
"AFV","AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","2.9","2.9","23.55","3.65"
"AGC","AK PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1.5","1.5","29.36","3.65"
"AHI","ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","2.9","2.9","12.06","3.65"
