"Fon Kodu","Fon Adı","Fon Türü","İlk Portföy Büyüklüğü","Son Portföy Büyüklüğü","Portföy Büyüklüğü Değişimi (%)","Tedavüldeki İlk Pay Adedi","Tedavüldeki Son Pay Adedi","Pay Adedi Değişimi (%)","Net Getiri Oranı (%)"
"BLH","AK PORTFÖY BIST LİKİT BANKA ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","1.562.522.978,94","1.461.336.184,34","-6,48","46.100.000,00","46.100.000,00","0,00","-6,16"
"BND","AK PORTFÖY BIST BANKA DIŞI LİKİT 10 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","306.602.562,90","318.159.356,42","3,77","14.000.000,00","14.000.000,00","0,00","3,65"
"BOE","AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","1.653.168.522,08","1.663.226.977,62","0,61","66.900.000,00","66.900.000,00","0,00","0,73"
"DJA","QNB PORTFÖY QNB TEMİZ ENERJİ ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Fonu","45.851.176,00","40.813.549,46","-10,99","195.000,00","165.000,00","-15,38","5,23"
"FGA","QNB PORTFÖY ALTIN KATILIM BORSA YATIRIM FONU","Altın Fonu","7.981.278.707,46","9.748.746.986,92","22,15","25.600.000,00","27.400.000,00","7,03","13,81"
"FGS","QNB PORTFÖY GÜMÜŞ KATILIM BORSA YATIRIM FONU","Gümüş Fonu","11.601.305.541,63","13.070.061.099,58","12,66","46.150.000,00","51.900.000,00","12,46","-0,35"
"FUS","QNB PORTFÖY AMERİKAN DOLARI YABANCI BORSA YATIRIM FONU","Yabancı Fon","855.055.880,01","858.389.960,81","0,39","240.000,00","240.000,00","0,00","-0,31"
"ILK","İŞ PORTFÖY ALTIN KATILIM BORSA YATIRIM FONU","Altın Fonu","23.662.806.421,89","31.210.122.250,09","31,90","62.400.000,00","71.400.000,00","14,42","7,63"
"KHO","AK PORTFÖY KATILIM 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"OHS","OSMANLI PORTFÖY KATILIM 30 ENDEKSİ HİSSE SENEDİ YOĞUN (TL) BORSA YATIRIM FONU","Hisse Senedi Yoğun","0,00","5.940.326,84","0,00","0,00","150.000,00","0,00","0,00"
"OHY","OSMANLI PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","27.125.824,85","32.900.634,26","21,29","510.000,00","615.000,00","20,59","0,64"
"OPE","OSMANLI PORTFÖY BIST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ YOĞUN (TL) BORSA YATIRIM FONU","Hisse Senedi Yoğun","58.499.387,26","65.848.273,80","12,56","1.590.000,00","1.830.000,00","15,09","-1,55"
"OPK","OSMANLI PORTFÖY KAR PAYI ÖDEYEN BIST GYO ENDEKSİ HİSSE SENEDİ YOĞUN (TL) BORSA YATIRIM FONU","Hisse Senedi Yoğun","26.208.640,80","31.184.184,95","18,98","270.000,00","300.000,00","11,11","9,37"
"ZBB","ZİRAAT PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","14.271.733.895,94","17.678.426.395,78","23,87","106.640.000,00","131.640.000,00","23,44","0,15"
"ZBP","ZİRAAT PORTFÖY BIST LİKİT BANKA ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","17.103.772.354,76","22.583.850.797,39","32,04","119.480.000,00","168.680.000,00","41,18","-7,33"
"ZEA","ZİRAAT PORTFÖY BIST 30 EŞİT AĞIRLIKLI ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","104.118.401,19","55.036.680,33","-47,14","840.000,00","440.000,00","-47,62","1,05"
"ZEO","ZİRAAT PORTFÖY BIST 50-30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","42.557.779,34","42.958.125,43","0,94","440.000,00","440.000,00","0,00","2,54"
"ZGD","ZİRAAT PORTFÖY ALTIN KATILIM  BORSA YATIRIM FONU","Altın Fonu","39.481.880.937,93","44.957.065.185,27","13,87","104.360.000,00","104.360.000,00","0,00","10,26"
"ZKE","ZİRAAT PORTFÖY KATILIM 30 EŞİT AĞIRLIKLI ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","620.804.974,60","681.259.225,75","9,74","6.520.000,00","6.960.000,00","6,75","2,32"
"ZKP","ZİRAAT PORTFÖY KATILIM 30 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","2.917.340.061,32","3.180.401.227,31","9,02","20.800.000,00","22.360.000,00","7,50","0,57"
"ZPP","ZİRAAT PORTFÖY BIST BANKA DIŞI LİKİT 10 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","1.405.824.914,92","1.420.910.839,64","1,07","9.600.000,00","9.360.000,00","-2,50","3,55"
"ZPT","ZİRAAT PORTFÖY YILDIZ PAZAR TEKNOLOJİ VE İLETİŞİM 10 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","50.899.281,09","41.919.024,44","-17,64","680.000,00","560.000,00","-17,65","-1,34"
"ZRE","ZİRAAT PORTFÖY RİSK EŞİT BANKA DIŞI 20 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","61.952.312,46","45.268.006,32","-26,93","560.000,00","400.000,00","-28,57","2,86"
"ZSR","ZİRAAT PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK 25 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","42.384.566,72","40.420.696,83","-4,63","1.280.000,00","1.240.000,00","-3,13","-1,72"
"ZTM","ZİRAAT PORTFÖY BIST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ YOĞUN BORSA YATIRIM FONU","Hisse Senedi Yoğun","85.064.522,51","83.154.871,23","-2,24","680.000,00","680.000,00","0,00","-2,31"
