"Fon Kodu","Fon Adı","Fon Türü","İlk Portföy Büyüklüğü","Son Portföy Büyüklüğü","Portföy Büyüklüğü Değişimi (%)","Tedavüldeki İlk Pay Adedi","Tedavüldeki Son Pay Adedi","Pay Adedi Değişimi (%)","Net Getiri Oranı (%)"
"AAK","ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","Değişken Fon","53.872.040,06","48.713.381,75","-9,58","2.217.088,00","1.935.996,00","-12,68","3,55"
"AAL","ATA PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Fonu","2.700.937.362,66","2.030.421.617,15","-24,83","1.336.756.467,00","968.393.052,00","-27,56","3,77"
"AAS","ATA PORTFÖY FON SEPETİ SERBEST FONU","Serbest Fon","18.802.847,23","22.529.432,22","19,82","2.496.036,00","3.226.807,00","29,28","-7,32"
"AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","1.158.555.563,86","1.145.815.343,41","-1,10","25.676.102,00","25.296.585,00","-1,48","0,38"
"AC1","PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU","Serbest Fon","148.328.107,98","147.070.413,60","-0,85","78.791.953,00","75.649.642,00","-3,99","3,27"
"AC4","PARDUS PORTFÖY PARA PİYASASI (TL) FON","Para Piyasası Fonu","2.956.415.701,92","1.857.587.095,88","-37,17","1.340.570.548,00","811.457.008,00","-39,47","3,80"
"AC5","PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Fon","64.547.971,12","65.614.246,20","1,65","27.495.011,00","27.258.735,00","-0,86","2,53"
"AC6","PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Fon","69.210.325,16","71.574.176,46","3,42","1.520.465,00","1.596.457,00","5,00","-1,51"
"ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","Hisse Senedi Fonu","171.122.357,46","172.671.149,51","0,91","6.111.889,00","6.030.972,00","-1,32","2,26"
"ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Fon","159.805.769,54","154.530.911,83","-3,30","41.579.366,00","39.435.886,00","-5,16","1,96"
"ACK","İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","120.846.457,39","116.900.567,54","-3,27","357.775.064,57","350.939.130,57","-1,91","-1,38"
"ACU","İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON","Serbest Fon","1.170.935.034,50","1.195.647.293,01","2,11","28.327.426,00","28.529.071,00","0,71","1,39"
"ADE","AK PORTFÖY DEĞİŞKEN FON","Değişken Fon","387.762.755,44","348.061.414,81","-10,24","670.301.189,00","579.994.344,00","-13,47","3,74"
"ADP","AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","3.628.940.323,20","3.436.441.483,78","-5,30","3.853.635.003,00","3.867.180.876,00","0,35","-5,64"
"AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Fon","60.248.144,77","59.064.936,21","-1,96","840.801,30","801.009,30","-4,73","2,91"
"AES","AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU","Yabancı Fon Sepeti Fonu","819.249.779,22","784.836.094,96","-4,20","8.789.301.621,00","9.033.399.020,00","2,78","-6,79"
"AEV","ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","4.001.412,57","3.796.317,09","-5,13","3.169.082,00","2.873.469,00","-9,33","4,63"
"AFA","AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU","Hisse Senedi Fonu","4.512.675.400,62","4.218.002.880,22","-6,53","6.169.022.397,00","6.353.054.036,00","2,98","-9,24"
"AFO","AK PORTFÖY ALTIN FONU","Altın Fonu","10.972.282.419,47","14.227.636.468,84","29,67","14.423.752.299,00","16.302.875.199,00","13,03","14,72"
"AFS","AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Fonu","701.690.813,76","636.884.598,51","-9,24","2.795.400.507,00","2.744.014.231,00","-1,84","-7,54"
"AFT","AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU","Hisse Senedi Fonu","10.119.289.306,44","9.190.305.331,19","-9,18","18.921.515.242,00","19.784.450.128,00","4,56","-13,14"
"AFV","AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU","Hisse Senedi Fonu","821.982.530,84","831.980.952,84","1,22","2.151.892.233,00","2.252.307.357,00","4,67","-3,30"
"AGC","AK PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Fon","84.793.984,34","87.639.453,65","3,36","12.983.963,00","13.171.861,00","1,45","1,88"
"AHI","ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN)","Hisse Senedi Fonu","76.486.442,10","77.069.637,33","0,76","3.200.496,00","3.247.945,00","1,48","-0,71"
"AHN","ATLAS PORTFÖY SERBEST(DÖVİZ)FON","Serbest Fon","56.788.293,87","51.815.455,55","-8,76","1.052.474,00","965.072,00","-8,30","-0,49"
"AHU","ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Fonu","334.944.905,27","294.737.180,63","-12,00","50.801.194,00","43.106.693,00","-15,15","3,70"
"AHV","AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU","Fon Sepeti Fonu","84.941.530,47","85.566.522,32","0,74","6.739.359,00","6.644.416,00","-1,41","2,18"
"AIS","AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Fonu","620.065.286,91","624.224.844,28","0,67","9.871.174.038,00","9.730.921.703,00","-1,42","2,12"
"AJK","AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON","Serbest Fon","123.800.852,61","103.989.501,72","-16,00","2.581.220,00","2.141.993,00","-17,02","1,22"
"AK2","AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Fonu","1.376.526.541,39","916.653.295,04","-33,41","3.764.495.220,00","2.463.108.214,00","-34,57","1,78"
"AK3","AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","7.035.232.513,14","6.217.456.007,04","-11,62","218.329.020,00","194.168.073,00","-11,07","-0,63"
"AKE","AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Fonu","1.030.375.812,86","1.810.926.598,27","75,75","2.720.275.558,00","4.749.193.846,00","74,59","0,67"
"AKU","AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","843.831.201,80","804.070.435,52","-4,71","1.458.770.498,00","1.383.966.489,00","-5,13","0,44"
"ALC","AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","1.672.923.401,47","1.639.268.038,48","-2,01","7.556.210.231,00","7.303.661.786,00","-3,34","1,38"
"AN1","STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Fon","1.429.726.229,67","1.302.142.769,15","-8,92","23.345.780,25","20.137.734,25","-13,74","5,59"
"ANZ","ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Fon","81.579.534,99","87.852.590,71","7,69","5.168.684,00","5.509.451,00","6,59","1,03"
"AOJ","ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Fon","520.919.248,21","468.709.056,22","-10,02","381.515.758,00","379.493.165,00","-0,53","-9,54"
"AOY","AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Fonu","279.486.060,73","264.525.136,16","-5,35","1.523.204.036,00","1.513.127.357,00","-0,66","-4,72"
"APJ","AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU","Fon Sepeti Fonu","138.966.393,09","128.526.840,44","-7,51","29.004.584,00","26.729.836,00","-7,84","0,36"
"APT","AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Fonu","1.347.953.025,99","862.932.123,94","-35,98","13.222.543.339,00","8.217.082.574,00","-37,86","3,01"
"ARE","İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU","Hisse Senedi Fonu","23.595.177,98","31.940.752,80","35,37","165.145.074,00","232.804.290,00","40,97","-3,97"
"ARL","AK PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Fonu","3.753.614.840,43","3.615.945.153,99","-3,67","376.178.753,00","351.759.842,00","-6,49","3,02"
"ARM","AK PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Fonu","3.196.469.315,60","2.996.095.820,96","-6,27","271.285.973,00","248.526.400,00","-8,39","2,32"
"AS1","ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Fon","17.367.164,40","15.209.358,56","-12,42","437.581,00","384.556,00","-12,12","-0,35"
"ASJ","AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","82.252.588,41","69.522.353,12","-15,48","31.701.833,00","27.126.777,00","-14,43","-1,22"
"AUT","ATA PORTFÖY DENGELİ DEĞİŞKEN FON","Değişken Fon","123.325.787,72","104.596.287,77","-15,19","19.050.720,00","15.499.647,00","-18,64","4,24"
"AUV","AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON","Serbest Fon","224.204.913,89","198.984.222,35","-11,25","6.359.659,00","5.637.054,00","-11,36","0,13"
"AYA","ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","304.047.914,47","312.224.066,80","2,69","22.000.402,00","22.644.985,00","2,93","-0,23"
"AYR","AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Fonu","1.765.436.754,81","1.970.450.660,53","11,61","21.898.953.288,00","23.625.646.993,00","7,88","3,46"
"BBF","PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Fonu","251.173.441,47","76.879.723,54","-69,39","127.885.319,00","37.795.470,00","-70,45","3,57"
"BBP","ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Fonu","24.159.473,26","20.484.732,54","-15,21","20.107.185,00","16.455.148,00","-18,16","3,61"
"BCK","DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Fon","0,00","11.653.315,71","0,00","0,00","11.845.367,00","0,00","0,00"
"BDC","AURA PORTFÖY BODRUM SERBEST FON","Serbest Fon","251.839.054,81","278.258.120,04","10,49","49.233.695,00","48.883.095,00","-0,71","11,28"
"BDS","PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Yoğun","113.019.266,87","433.522.548,47","283,58","79.780.933,00","240.928.300,00","201,99","27,02"
"BDY","AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","45.929.520,44","45.870.450,99","-0,13","44.254.111,00","40.635.136,00","-8,18","8,77"
"BFE","ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Fonu","17.052.271,43","17.677.549,92","3,67","14.544.571,00","14.520.387,00","-0,17","3,84"
"BFT","AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","509.045.325,05","166.682.370,94","-67,26","570.939.797,00","195.124.790,00","-65,82","-4,19"
"BGP","AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU","Para Piyasası Fonu","75.633.145.690,77","34.661.776.981,31","-54,17","20.574.782.197,00","9.085.623.249,00","-55,84","3,78"
"BHF","PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Fon","70.649.363,03","71.054.068,17","0,57","44.928.051,00","44.711.310,00","-0,48","1,06"
"BHI","BV PORTFÖY ALGORİTMİK STRATEJİLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Fon","62.973.455,78","64.650.363,43","2,66","46.447.553,00","46.431.056,00","-0,04","2,70"
"BHL","İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Fon","23.295.495,06","18.347.710,44","-21,24","31.048.061,00","24.443.481,00","-21,27","0,04"
"BID","QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","336.716.224,17","342.751.638,56","1,79","141.223.985,00","134.593.516,00","-4,70","6,81"
"BIG","YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","474.974.541,91","423.883.989,18","-10,76","498.635.274,00","447.168.018,00","-10,32","-0,48"
"BIH","PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","317.631.340,46","345.549.359,01","8,79","99.738.839,00","99.748.618,00","0,01","8,78"
"BIO","İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","1.829.848.179,24","1.604.020.424,99","-12,34","1.050.427.417,00","919.205.652,00","-12,49","0,17"
"BIS","BV PORTFÖY BİRİNCİ SERBEST FON","Serbest Fon","195.041.694,08","321.058.730,39","64,61","152.475.815,00","250.235.568,00","64,11","0,30"
"BNC","AK PORTFÖY BEŞİNCİ SERBEST FON","Serbest Fon","910.113.899,54","893.808.175,00","-1,79","680.964.337,00","654.874.141,00","-3,83","2,12"
"BOL","AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Fonu","159.958.781,30","88.091.615,35","-44,93","153.710.127,00","82.940.592,00","-46,04","2,06"
"BSH","ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Fon","1.301.419,57","1.003.172,04","-22,92","1.554.395,00","1.290.784,00","-16,96","-7,17"
"BST","PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Fon","141.123.535,84","126.116.546,98","-10,63","19.684.134,00","16.918.475,00","-14,05","3,97"
"BTE","BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON","Değişken Fon","280.075.387,55","261.415.552,84","-6,66","103.687.195,00","103.463.179,00","-0,22","-6,46"
"BTJ","ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Fon","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"BTZ","ATLAS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","3.665.072,13","3.997.566,27","9,07","4.348.209,00","4.380.272,00","0,74","8,27"
"BUL","AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Fon","24.618.902,68","22.095.118,16","-10,25","30.938.567,00","28.894.186,00","-6,61","-3,90"
"BUY","AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","392.743.409,75","380.780.122,90","-3,05","317.673.090,00","303.795.349,00","-4,37","1,38"
"BV1","BV PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","0,00","11.103.267,01","0,00","0,00","11.205.349,00","0,00","0,00"
"BVM","ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Fon","46.929.295,65","33.241.233,24","-29,17","17.393.289,00","12.240.282,00","-29,63","0,65"
"BVV","BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","Değişken Fon","134.826.465,05","119.669.864,04","-11,24","87.030.740,00","86.680.973,00","-0,40","-10,88"
"BVZ","BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON","Serbest Fon","1.313.062.995,48","1.369.511.541,40","4,30","515.582.298,00","519.723.254,00","0,80","3,47"
"CFO","ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU","Para Piyasası Fonu","4.092.417.037,25","2.875.502.213,35","-29,74","2.887.690.645,00","1.958.017.789,50","-32,19","3,63"
"CIN","AKTİF PORTFÖY BİRİNCİ SERBEST FON","Serbest Fon","40.356.363,49","40.663.759,34","0,76","36.795.383,00","37.803.581,00","2,74","-1,93"
"CKF","ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Fonu","19.804.540,89","38.583.498,20","94,82","18.613.506,00","35.440.396,00","90,40","2,32"
"CKS","İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Fon","2.845.496.805,67","3.117.730.709,56","9,57","64.612.921,00","69.952.291,00","8,26","1,20"
"CPT","ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Fon","62.959.869,68","51.245.007,29","-18,61","42.575.159,00","39.713.337,00","-6,72","-12,74"
"CPU","AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU","Katılım Fonu","485.718.141,32","406.788.273,48","-16,25","311.414.433,00","284.291.912,00","-8,71","-8,26"
"CVK","INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Fonu","445.713.129,30","534.424.570,87","19,90","143.683.762,00","166.657.416,00","15,99","3,37"
"DAH","DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Fonu","888.006.779,77","700.304.884,04","-21,14","349.505.800,00","273.543.200,00","-21,73","0,76"
"DAS","DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON","Serbest Fon","131.291.194.430,82","137.743.074.475,75","4,91","3.170.519.441,31","3.293.368.282,31","3,87","1,00"
