"Fon Kodu","Fon Adı","İlk Portföy Büyüklüğü","Son Portföy Büyüklüğü","Portföy Büyüklüğü Değişimi (%)","Tedavüldeki İlk Pay Adedi","Tedavüldeki Son Pay Adedi","Pay Adedi Değişimi (%)","Net Getiri Oranı (%)"
"AB1","AKFEN GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ GAYRİMENKUL YATIRIM FONU","2.723.264.079,47","2.782.365.092,92","2,17","173.821.594,00","173.821.594,00","0,00","2,17"
"AB2","ALLBATROSS PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GAYRİMENKUL YATIRIM FONU","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"ABZ","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. DOKUZUNCU KARMA GAYRİMENKUL YATIRIM FONU","1.640.066.781,42","1.638.591.087,74","-0,09","248.003,00","248.003,00","0,00","-0,09"
"AG5","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. DÜKKAN GAYRIMENKUL YATIRIM FONU","2.474.335.259,80","2.709.581.467,43","9,51","295.014,00","295.014,00","0,00","9,51"
"AG6","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. SEKİZİNCİ KARMA GAYRİMENKUL YATIRIM FONU","40.528.362,40","40.452.038,02","-0,19","9.750,00","9.750,00","0,00","-0,19"
"AG7","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. METROPOL GAYRİMENKUL YATIRIM FONU","1.765.174.855,15","1.910.253.964,89","8,22","97.940,00","97.940,00","0,00","8,22"
"AG8","ALBARAKA  PORTFÖY YÖNETİMİ A.Ş. DÖRDÜNCÜ KARMA GAYRİMENKUL YATIRIM FONU","364.188.520,15","364.495.775,66","0,08","16.599,00","16.599,00","0,00","0,08"
"AHR","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. ONUNCU KARMA GAYRİMENKUL YATIRIM FONU","72.006.618,61","70.876.639,41","-1,57","7.187,00","7.187,00","0,00","-1,57"
"AR7","ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. YEDİNCİ GAYRİMENKUL YATIRIM FONU","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"AR9","ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.SEKİZİNCİ GAYRİMENKUL YATIRIM FONU","548.455.807,39","565.219.741,61","3,06","395.044.766,00","407.826.576,00","3,24","-0,17"
"AZ1","ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ GAYRİMENKUL YATIRIM FONU","1.789.867.216,51","1.795.727.501,44","0,33","99.904.380,59","99.904.380,59","0,00","0,33"
"AZ2","ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GAYRİMENKUL YATIRIM FONU","2.348.240.952,34","2.366.371.216,81","0,77","110.262.355,37","110.262.355,37","0,00","0,77"
"AZ3","ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. ÜÇÜNCÜ GAYRİMENKUL YATIRIM FONU","71.833.022,97","71.726.287,66","-0,15","11.331.690,89","11.331.690,89","0,00","-0,15"
"AZ6","ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. DÖRDÜNCÜ GAYRİMENKUL YATIRIM FONU","456.204.943,31","460.503.439,23","0,94","73.524.371,00","73.524.371,00","0,00","0,94"
"AZ7","ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. BEŞİNCİ GAYRİMENKUL YATIRIM FONU","223.982.474,76","223.872.295,33","-0,05","14.425.640,00","14.425.640,00","0,00","-0,05"
