"Fon Kodu","Fon Adı","İlk Portföy Büyüklüğü","Son Portföy Büyüklüğü","Portföy Büyüklüğü Değişimi (%)","Tedavüldeki İlk Pay Adedi","Tedavüldeki Son Pay Adedi","Pay Adedi Değişimi (%)","Net Getiri Oranı (%)"
"ABH","PARDUS PORTFÖY YÖNETİMİ A.Ş. PARDUS TEKNOLOJİ GİRİŞİM SERMAYESİ YATIRIM FONU","2.334.174.028,55","3.395.294.052,94","45,46","2.098.734,00","2.596.309,00","23,71","17,58"
"ABM","PARDUS PORTFÖY YÖNETİMİ A.Ş. PARDUS VİZYON GİRİŞİM SERMAYESİ YATIRIM FONU","702.499.059,55","701.209.283,38","-0,18","351.807,00","351.807,00","0,00","-0,18"
"ABW","AZİMUT PORTFÖY YÖNETİM A.Ş. BLUE WORLD GİRİŞİM SERMAYESİ FONU","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"ACF","İSTANBUL PORTFÖY YÖNETİMİ A.Ş. LOGO VENTURES GİRİŞİM SERMAYESİ YATIRIM FONU","81.267.723,55","81.832.866,28","0,70","7.074.026,00","7.074.026,00","0,00","0,70"
"ACG","İSTANBUL PORTFÖY YÖNETİMİ A.Ş. ACTUS GAZİANTEP PPP ENTEGRE SAĞLIK KAMPÜSÜ GİRİŞİM SERMAYESİ YATIRIM FONU","4.354.818.142,69","4.759.806.491,47","9,30","60.712.212,00","60.712.212,00","0,00","9,30"
"AG9","ALBARAKA PORTFÖY YÖNETİMİ A.Ş. CONTRA TEKNOLOJİ GİRİŞİM SERMAYESİ YATIRIM FONU","9.914.303.774,66","9.923.592.043,27","0,09","11.008.883,00","11.008.883,00","0,00","0,09"
"AGN","AK PORTFÖY YÖNETİMİ A.Ş.BİRİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU","1.658.805.031,26","1.703.665.743,23","2,70","111.028.385,00","111.028.385,00","0,00","2,70"
"AIV","ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU","156.038.879,68","156.478.012,45","0,28","21.523.431,48","21.523.431,48","0,00","0,28"
"AK4","AK PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ TEKNOLOJİ GİRİŞİM SERMAYESİ YATIRIM FONU","93.331.197,21","95.881.754,83","2,73","69.523.393,00","69.523.393,00","0,00","2,73"
"AK5","AK PORTFÖY YÖNETİMİ A.Ş. AKBANK VENTURE BUİLDER ÖZEL GİRİŞİM SERMAYESİ YATIRIM FONU","100.204.938,28","100.563.337,96","0,36","46.133.278,00","46.133.278,00","0,00","0,36"
